,0,1,2
243,Good Times,1975-1976,https://en.wikipedia.org/wiki/Carl_Franklin
244,Teamwork,1944,https://en.wikipedia.org/wiki/Carlton_Moss
245,Everything's Jake,2000,https://en.wikipedia.org/wiki/Doug_E._Doug
246,Diary of a Mad Black Woman,2005,https://en.wikipedia.org/wiki/Darren_Grant
247,Black and Blue,2019,https://en.wikipedia.org/wiki/Deon_Taylor
248,Gidget Meets Hondo,1980,https://en.wikipedia.org/wiki/Ben_Caldwell_(filmmaker)
249,The Paperboy,2012,https://en.wikipedia.org/wiki/Lee_Daniels
250,Dancing in September,2000,https://en.wikipedia.org/wiki/Reggie_Rock_Bythewood
251,All About the Benjamins,2002,https://en.wikipedia.org/wiki/Kevin_Bray_(director)
252,"^ Billboard Magazine, April 13, 1985 - Page 65 New Releases, HOME VIDEO",1985,https://en.wikipedia.org/wiki/Ivan_Rogers_(actor)
253,After the Storm,2010,https://en.wikipedia.org/wiki/Greg_Carter_(filmmaker)
254,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,https://en.wikipedia.org/wiki/Keenen_Ivory_Wayans
255,Terror on Highway 91,1989,https://en.wikipedia.org/wiki/Richard_Brooks_(actor)
256,Thick as Thieves,1999,https://en.wikipedia.org/wiki/Scott_Sanders_(director)
257,Satellite Awards,2020,https://en.wikipedia.org/wiki/Channing_Godfrey_Peoples
258,The Hearse,1980,https://en.wikipedia.org/wiki/George_Bowers_(filmmaker)
259,Take Your Bags,1998,https://en.wikipedia.org/wiki/Camille_Billops
260,All Eyez on Me,2017,https://en.wikipedia.org/wiki/Benny_Boom
261,Killing Hasselhoff,2017,https://en.wikipedia.org/wiki/Darren_Grant
262,"^ ""Markus Redmond"". www.goodreads.com. Retrieved February 6, 2020.",2020,https://en.wikipedia.org/wiki/Markus_Redmond
263,"^ ""SPIDER-MAN: THE ANIMATED SERIES 20th ANNIVERSARY REUNION - Panel Discussion"". YouTube. Archived from the original on 2021-12-13. Retrieved 2015-05-21.",2021,https://en.wikipedia.org/wiki/John_Semper
264,Official website,0000,https://en.wikipedia.org/wiki/David_E._Talbert
265,Real Husbands of Hollywood,2013,https://en.wikipedia.org/wiki/Chris_Robinson_(director)
266,Drop Squad,1994,https://en.wikipedia.org/wiki/Vondie_Curtis-Hall
267,A Place in Time,1977,https://en.wikipedia.org/wiki/Charles_Lane_(filmmaker)
268,The Imperceptible Peace Maker,2014,https://en.wikipedia.org/wiki/Fathia_Absie
269,ATL,2006,https://en.wikipedia.org/wiki/Chris_Robinson_(director)
270,Charlie's Angels,2000,https://en.wikipedia.org/wiki/Kevin_Grevioux
271,"^ France, Lisa Respers",2010,https://en.wikipedia.org/wiki/Tariq_Nasheed
272,Trying Times,1989,https://en.wikipedia.org/wiki/George_C._Wolfe
